year,geo_actividad,section_key,municipio,casos_agricultura,casos_construccion,casos_industria,casos_actividad_no_consta,casos_servicios,actividad_total_conocida,pct_servicios,pct_industria_construccion
2021,20210101_38001_D01_S001,38001_D01_S001,Adeje,2.0,40.0,21.0,0.0,591.0,654.0,90.36697247706422,9.327217125382264
2021,20210101_38001_D01_S002,38001_D01_S002,Adeje,13.0,39.0,22.0,0.0,942.0,1016.0,92.71653543307086,6.003937007874016
2021,20210101_38001_D01_S003,38001_D01_S003,Adeje,14.0,39.0,18.0,1.0,993.0,1064.0,93.32706766917293,5.357142857142857
2021,20210101_38001_D01_S004,38001_D01_S004,Adeje,31.0,37.0,28.0,0.0,682.0,778.0,87.66066838046272,8.354755784061696
2021,20210101_38001_D01_S005,38001_D01_S005,Adeje,47.0,58.0,39.0,0.0,860.0,1004.0,85.65737051792829,9.661354581673306
2021,20210101_38001_D01_S006,38001_D01_S006,Adeje,26.0,50.0,37.0,0.0,986.0,1099.0,89.7179253867152,7.916287534121929
2021,20210101_38001_D01_S007,38001_D01_S007,Adeje,11.0,30.0,25.0,0.0,1306.0,1372.0,95.18950437317784,4.0087463556851315
2021,20210101_38001_D01_S008,38001_D01_S008,Adeje,7.0,56.0,20.0,1.0,892.0,975.0,91.48717948717949,7.794871794871795
2021,20210101_38001_D01_S009,38001_D01_S009,Adeje,9.0,48.0,36.0,0.0,1093.0,1186.0,92.15851602023609,7.082630691399663
2021,20210101_38001_D01_S010,38001_D01_S010,Adeje,10.0,23.0,28.0,0.0,532.0,593.0,89.7133220910624,8.600337268128161
2021,20210101_38001_D01_S011,38001_D01_S011,Adeje,46.0,60.0,19.0,0.0,1270.0,1395.0,91.0394265232975,5.663082437275985
2021,20210101_38001_D01_S012,38001_D01_S012,Adeje,11.0,45.0,32.0,0.0,750.0,838.0,89.49880668257757,9.18854415274463
2021,20210101_38001_D01_S013,38001_D01_S013,Adeje,7.0,58.0,24.0,0.0,1307.0,1396.0,93.62464183381088,5.873925501432665
2021,20210101_38001_D01_S014,38001_D01_S014,Adeje,10.0,17.0,10.0,0.0,517.0,554.0,93.32129963898917,4.873646209386282
2021,20210101_38001_D01_S015,38001_D01_S015,Adeje,12.0,39.0,20.0,0.0,787.0,858.0,91.72494172494173,6.876456876456876
2021,20210101_38001_D01_S016,38001_D01_S016,Adeje,8.0,27.0,16.0,0.0,524.0,575.0,91.1304347826087,7.478260869565218
2021,20210101_38001_D01_S017,38001_D01_S017,Adeje,14.0,40.0,18.0,1.0,928.0,1000.0,92.8,5.8
2021,20210101_38001_D01_S018,38001_D01_S018,Adeje,3.0,82.0,24.0,0.0,1488.0,1597.0,93.17470256731372,6.637445209768315
2021,20210101_38002_D01_S001,38002_D01_S001,Agulo,18.0,30.0,6.0,0.0,287.0,341.0,84.1642228739003,10.557184750733137
2021,20210101_38003_D01_S001,38003_D01_S001,Alajeró,21.0,69.0,19.0,0.0,680.0,789.0,86.1850443599493,11.153358681875792
2021,20210101_38004_D01_S001,38004_D01_S001,Arafo,20.0,50.0,76.0,0.0,698.0,844.0,82.70142180094787,14.928909952606634
2021,20210101_38004_D01_S002,38004_D01_S002,Arafo,16.0,44.0,67.0,0.0,504.0,631.0,79.87321711568939,17.591125198098258
2021,20210101_38004_D01_S003,38004_D01_S003,Arafo,22.0,53.0,49.0,0.0,617.0,741.0,83.26585695006747,13.765182186234817
2021,20210101_38005_D01_S001,38005_D01_S001,Arico,56.0,20.0,30.0,0.0,176.0,282.0,62.4113475177305,17.73049645390071
