year,geocode,section_key,municipio,pct_otras_prestaciones,pct_otros_ingresos,pct_pensiones,pct_prestaciones_desempleo,pct_sueldos_salarios
2021,20220101_35001_D01_S001,35001_D01_S001,Agaete,5.8,6.6,23.6,3.2,60.9
2021,20220101_35001_D01_S002,35001_D01_S002,Agaete,5.7,8.8,23.0,3.7,58.8
2021,20220101_35001_D01_S003,35001_D01_S003,Agaete,6.9,5.6,25.9,4.6,57.0
2021,20220101_35001_D01_S004,35001_D01_S004,Agaete,8.1,11.2,20.7,3.4,56.7
2021,20220101_35001_D01_S005,35001_D01_S005,Agaete,5.7,7.2,22.2,4.3,60.7
2021,20220101_35002_D01_S001,35002_D01_S001,Agüimes,5.8,6.8,19.2,6.1,62.1
2021,20220101_35002_D01_S002,35002_D01_S002,Agüimes,8.1,8.5,23.7,5.5,54.2
2021,20220101_35002_D01_S003,35002_D01_S003,Agüimes,7.6,7.7,18.0,9.6,57.1
2021,20220101_35002_D01_S004,35002_D01_S004,Agüimes,5.2,12.1,15.4,8.2,59.1
2021,20220101_35002_D01_S005,35002_D01_S005,Agüimes,10.9,3.6,24.9,12.6,48.0
2021,20220101_35002_D01_S006,35002_D01_S006,Agüimes,4.1,11.2,18.0,5.3,61.4
2021,20220101_35002_D01_S007,35002_D01_S007,Agüimes,6.6,5.9,21.7,5.5,60.3
2021,20220101_35002_D01_S008,35002_D01_S008,Agüimes,5.2,8.9,22.7,6.3,57.0
2021,20220101_35002_D01_S009,35002_D01_S009,Agüimes,5.9,8.2,15.0,9.3,61.6
2021,20220101_35002_D01_S010,35002_D01_S010,Agüimes,4.3,11.3,13.3,4.6,66.4
2021,20220101_35002_D01_S011,35002_D01_S011,Agüimes,6.7,10.7,19.8,9.5,53.4
2021,20220101_35002_D01_S012,35002_D01_S012,Agüimes,5.7,10.4,14.2,5.9,63.8
2021,20220101_35002_D01_S013,35002_D01_S013,Agüimes,7.3,6.8,14.5,11.8,59.6
2021,20220101_35002_D01_S014,35002_D01_S014,Agüimes,6.6,9.0,26.6,6.2,51.8
2021,20220101_35002_D01_S015,35002_D01_S015,Agüimes,6.4,8.7,15.6,9.3,60.0
2021,20220101_35002_D01_S016,35002_D01_S016,Agüimes,5.1,8.0,13.8,8.6,64.5
2021,20220101_35002_D01_S017,35002_D01_S017,Agüimes,5.6,10.8,8.0,8.5,67.2
2021,20220101_35002_D01_S018,35002_D01_S018,Agüimes,4.1,9.7,17.6,5.5,63.2
2021,20220101_35002_D01_S019,35002_D01_S019,Agüimes,4.1,10.7,4.3,7.3,73.7
2021,20220101_35002_D01_S020,35002_D01_S020,Agüimes,4.8,7.2,6.6,8.9,72.5
2021,20220101_35002_D01_S021,35002_D01_S021,Agüimes,4.4,12.0,11.3,5.3,67.0
2021,20220101_35002_D01_S022,35002_D01_S022,Agüimes,4.1,12.5,15.1,5.2,63.1
2021,20220101_35002_D01_S023,35002_D01_S023,Agüimes,4.4,10.4,15.0,4.5,65.6
2021,20220101_35003_D01_S001,35003_D01_S001,Antigua,4.3,8.5,17.1,7.2,63.0
2021,20220101_35003_D01_S002,35003_D01_S002,Antigua,4.0,11.9,18.0,8.3,57.8
2021,20220101_35003_D01_S003,35003_D01_S003,Antigua,2.7,18.7,12.4,10.9,55.3
2021,20220101_35003_D01_S004,35003_D01_S004,Antigua,4.4,7.5,16.0,15.4,56.7
2021,20220101_35003_D01_S005,35003_D01_S005,Antigua,3.4,11.4,14.5,8.0,62.8
2021,20220101_35004_D01_S001,35004_D01_S001,Arrecife,3.2,20.5,15.1,5.7,55.5
2021,20220101_35004_D01_S002,35004_D01_S002,Arrecife,5.8,6.2,20.2,12.4,55.4
2021,20220101_35004_D01_S003,35004_D01_S003,Arrecife,3.6,20.7,15.4,5.2,55.1
2021,20220101_35004_D01_S004,35004_D01_S004,Arrecife,4.2,12.2,16.7,7.4,59.4
2021,20220101_35004_D01_S005,35004_D01_S005,Arrecife,4.9,6.2,14.1,13.4,61.4
2021,20220101_35004_D01_S006,35004_D01_S006,Arrecife,3.5,9.1,12.2,12.0,63.3
2021,20220101_35004_D01_S007,35004_D01_S007,Arrecife,3.5,9.9,10.7,9.1,66.8
2021,20220101_35004_D01_S008,35004_D01_S008,Arrecife,3.5,11.6,15.3,9.4,60.3
2021,20220101_35004_D01_S009,35004_D01_S009,Arrecife,2.9,19.3,23.0,5.1,49.8
2021,20220101_35004_D01_S010,35004_D01_S010,Arrecife,3.6,10.0,20.2,7.4,58.8
2021,20220101_35004_D01_S011,35004_D01_S011,Arrecife,3.2,7.4,13.1,9.8,66.5
2021,20220101_35004_D01_S012,35004_D01_S012,Arrecife,4.6,7.6,17.1,11.0,59.8
2021,20220101_35004_D02_S001,35004_D02_S001,Arrecife,5.5,8.0,12.2,12.2,62.1
