year,geo_renta,section_key,municipio,distrito,seccion,renta_bruta_media_hogar,renta_bruta_media_persona,renta_neta_uc_media,renta_neta_uc_mediana,renta_ratio_media_mediana,map_year_renta,geo_distribucion_ingresos,pct_otras_prestaciones,pct_otros_ingresos,pct_pensiones,pct_prestaciones_desempleo,pct_sueldos_salarios,geo_ocupacion,casos_alta_cualificacion,casos_ocupacion_no_consta,casos_ocupaciones_elementales,casos_cualificados_bajo,ocupacion_total,ocupacion_total_conocida,pct_alta_cualificacion,pct_ocupaciones_elementales,geo_actividad,casos_agricultura,casos_construccion,casos_industria,casos_actividad_no_consta,casos_servicios,actividad_total_conocida,pct_servicios,pct_industria_construccion,perfil_renta
2021,20220101_38001_D01_S001,38001_D01_S001,Adeje,1,1,31387.0,11528.0,15459.0,13650.0,1.1325274725274725,2022,20220101_38001_D01_S001,3.5,15.8,14.9,11.6,54.2,20210101_38001_D01_S001,152.0,27.0,104.0,372.0,655.0,628.0,24.203821656050955,16.56050955414013,20210101_38001_D01_S001,2.0,40.0,21.0,0.0,591.0,654.0,90.36697247706422,9.327217125382264,baja
2021,20220101_38001_D01_S002,38001_D01_S002,Adeje,1,2,28541.0,9484.0,13096.0,12250.0,1.069061224489796,2022,20220101_38001_D01_S002,4.6,7.0,13.5,16.6,58.4,20210101_38001_D01_S002,161.0,40.0,197.0,618.0,1016.0,976.0,16.49590163934426,20.184426229508198,20210101_38001_D01_S002,13.0,39.0,22.0,0.0,942.0,1016.0,92.71653543307086,6.003937007874016,baja
2021,20220101_38001_D01_S003,38001_D01_S003,Adeje,1,3,33268.0,11410.0,15370.0,12250.0,1.2546938775510204,2022,20220101_38001_D01_S003,3.0,21.2,11.4,13.4,51.0,20210101_38001_D01_S003,194.0,37.0,135.0,699.0,1065.0,1028.0,18.8715953307393,13.132295719844358,20210101_38001_D01_S003,14.0,39.0,18.0,1.0,993.0,1064.0,93.32706766917293,5.357142857142857,baja
2021,20220101_38001_D01_S004,38001_D01_S004,Adeje,1,4,27259.0,9778.0,13441.0,12250.0,1.0972244897959185,2022,20220101_38001_D01_S004,4.8,10.1,17.3,13.7,54.2,20210101_38001_D01_S004,105.0,29.0,192.0,452.0,778.0,749.0,14.018691588785046,25.63417890520694,20210101_38001_D01_S004,31.0,37.0,28.0,0.0,682.0,778.0,87.66066838046272,8.354755784061696,baja
2021,20220101_38001_D01_S005,38001_D01_S005,Adeje,1,5,34744.0,11420.0,15824.0,15050.0,1.0514285714285714,2022,20220101_38001_D01_S005,3.3,14.6,18.1,10.8,53.2,20210101_38001_D01_S005,203.0,32.0,198.0,571.0,1004.0,972.0,20.88477366255144,20.37037037037037,20210101_38001_D01_S005,47.0,58.0,39.0,0.0,860.0,1004.0,85.65737051792829,9.661354581673306,baja
2021,20220101_38001_D01_S006,38001_D01_S006,Adeje,1,6,30198.0,9796.0,13823.0,12950.0,1.0674131274131273,2022,20220101_38001_D01_S006,4.1,8.9,15.9,14.1,57.0,20210101_38001_D01_S006,196.0,30.0,236.0,637.0,1099.0,1069.0,18.33489242282507,22.07670720299345,20210101_38001_D01_S006,26.0,50.0,37.0,0.0,986.0,1099.0,89.7179253867152,7.916287534121929,baja
2021,20220101_38001_D01_S007,38001_D01_S007,Adeje,1,7,20584.0,8771.0,11700.0,9450.0,1.2380952380952381,2022,20220101_38001_D01_S007,2.5,19.8,15.5,16.1,46.1,20210101_38001_D01_S007,269.0,58.0,125.0,920.0,1372.0,1314.0,20.47184170471842,9.512937595129376,20210101_38001_D01_S007,11.0,30.0,25.0,0.0,1306.0,1372.0,95.18950437317784,4.0087463556851315,baja
2021,20220101_38001_D01_S008,38001_D01_S008,Adeje,1,8,25436.0,10410.0,14054.0,11550.0,1.2167965367965368,2022,20220101_38001_D01_S008,2.4,21.2,14.6,12.6,49.3,20210101_38001_D01_S008,280.0,58.0,108.0,530.0,976.0,918.0,30.501089324618736,11.764705882352942,20210101_38001_D01_S008,7.0,56.0,20.0,1.0,892.0,975.0,91.48717948717949,7.794871794871795,baja
2021,20220101_38001_D01_S009,38001_D01_S009,Adeje,1,9,44746.0,15185.0,19506.0,15050.0,1.2960797342192691,2022,20220101_38001_D01_S009,2.4,29.6,7.1,8.8,52.1,20210101_38001_D01_S009,378.0,45.0,91.0,672.0,1186.0,1141.0,33.12883435582822,7.975460122699387,20210101_38001_D01_S009,9.0,48.0,36.0,0.0,1093.0,1186.0,92.15851602023609,7.082630691399663,media-baja
2021,20220101_38001_D01_S010,38001_D01_S010,Adeje,1,10,48813.0,14282.0,19295.0,17150.0,1.125072886297376,2022,20220101_38001_D01_S010,3.3,18.1,13.2,8.2,57.2,20210101_38001_D01_S010,154.0,35.0,77.0,327.0,593.0,558.0,27.59856630824373,13.799283154121865,20210101_38001_D01_S010,10.0,23.0,28.0,0.0,532.0,593.0,89.7133220910624,8.600337268128161,media-baja
