year,geo_ocupacion,section_key,municipio,casos_alta_cualificacion,casos_ocupacion_no_consta,casos_ocupaciones_elementales,casos_cualificados_bajo,ocupacion_total,ocupacion_total_conocida,pct_alta_cualificacion,pct_ocupaciones_elementales
2021,20210101_38001_D01_S001,38001_D01_S001,Adeje,152,27,104,372,655,628,24.203821656050955,16.56050955414013
2021,20210101_38001_D01_S002,38001_D01_S002,Adeje,161,40,197,618,1016,976,16.49590163934426,20.184426229508198
2021,20210101_38001_D01_S003,38001_D01_S003,Adeje,194,37,135,699,1065,1028,18.8715953307393,13.132295719844358
2021,20210101_38001_D01_S004,38001_D01_S004,Adeje,105,29,192,452,778,749,14.018691588785046,25.63417890520694
2021,20210101_38001_D01_S005,38001_D01_S005,Adeje,203,32,198,571,1004,972,20.88477366255144,20.37037037037037
2021,20210101_38001_D01_S006,38001_D01_S006,Adeje,196,30,236,637,1099,1069,18.33489242282507,22.07670720299345
2021,20210101_38001_D01_S007,38001_D01_S007,Adeje,269,58,125,920,1372,1314,20.47184170471842,9.512937595129376
2021,20210101_38001_D01_S008,38001_D01_S008,Adeje,280,58,108,530,976,918,30.501089324618736,11.764705882352942
2021,20210101_38001_D01_S009,38001_D01_S009,Adeje,378,45,91,672,1186,1141,33.12883435582822,7.975460122699387
2021,20210101_38001_D01_S010,38001_D01_S010,Adeje,154,35,77,327,593,558,27.59856630824373,13.799283154121865
2021,20210101_38001_D01_S011,38001_D01_S011,Adeje,305,64,165,861,1395,1331,22.915101427498122,12.396694214876034
2021,20210101_38001_D01_S012,38001_D01_S012,Adeje,174,39,136,489,838,799,21.777221526908637,17.02127659574468
2021,20210101_38001_D01_S013,38001_D01_S013,Adeje,399,54,117,826,1396,1342,29.731743666169894,8.71833084947839
2021,20210101_38001_D01_S014,38001_D01_S014,Adeje,109,20,92,333,554,534,20.411985018726593,17.228464419475657
2021,20210101_38001_D01_S015,38001_D01_S015,Adeje,155,34,159,510,858,824,18.810679611650485,19.296116504854368
2021,20210101_38001_D01_S016,38001_D01_S016,Adeje,130,27,93,325,575,548,23.722627737226276,16.970802919708028
2021,20210101_38001_D01_S017,38001_D01_S017,Adeje,248,34,122,597,1001,967,25.646328852119957,12.616339193381593
2021,20210101_38001_D01_S018,38001_D01_S018,Adeje,503,71,73,950,1597,1526,32.96199213630406,4.783748361730013
2021,20210101_38002_D01_S001,38002_D01_S001,Agulo,99,18,48,176,341,323,30.65015479876161,14.860681114551083
2021,20210101_38003_D01_S001,38003_D01_S001,Alajeró,164,25,135,465,789,764,21.465968586387433,17.670157068062828
2021,20210101_38004_D01_S001,38004_D01_S001,Arafo,250,21,109,464,844,823,30.37667071688943,13.24422843256379
2021,20210101_38004_D01_S002,38004_D01_S002,Arafo,156,20,111,344,631,611,25.53191489361702,18.16693944353519
2021,20210101_38004_D01_S003,38004_D01_S003,Arafo,247,28,96,370,741,713,34.642356241234225,13.464235624123422
2021,20210101_38005_D01_S001,38005_D01_S001,Arico,49,8,99,126,282,274,17.883211678832115,36.13138686131387
2021,20210101_38005_D01_S002,38005_D01_S002,Arico,39,7,92,131,269,262,14.885496183206106,35.11450381679389
2021,20210101_38005_D01_S003,38005_D01_S003,Arico,84,19,91,239,433,414,20.28985507246377,21.980676328502415
2021,20210101_38005_D01_S004,38005_D01_S004,Arico,311,31,149,564,1055,1024,30.37109375,14.55078125
2021,20210101_38005_D01_S005,38005_D01_S005,Arico,146,23,170,474,813,790,18.481012658227847,21.518987341772153
2021,20210101_38005_D01_S006,38005_D01_S006,Arico,37,15,61,150,263,248,14.919354838709678,24.596774193548388
2021,20210101_38006_D01_S001,38006_D01_S001,Arona,97,17,99,266,479,462,20.995670995670995,21.428571428571427
2021,20210101_38006_D01_S002,38006_D01_S002,Arona,106,21,128,408,663,642,16.510903426791277,19.937694704049843
2021,20210101_38006_D01_S003,38006_D01_S003,Arona,200,34,206,691,1131,1097,18.231540565177756,18.77848678213309
