year,geocode,section_key,municipio,distrito,seccion,renta_bruta_media_hogar,renta_bruta_media_persona,renta_neta_uc_media,renta_neta_uc_mediana,renta_ratio_media_mediana,map_year_renta
2021,20220101_38001_D01_S001,38001_D01_S001,Adeje,1,1,31387.0,11528.0,15459.0,13650.0,1.1325274725274725,2022
2021,20220101_38001_D01_S002,38001_D01_S002,Adeje,1,2,28541.0,9484.0,13096.0,12250.0,1.069061224489796,2022
2021,20220101_38001_D01_S003,38001_D01_S003,Adeje,1,3,33268.0,11410.0,15370.0,12250.0,1.2546938775510204,2022
2021,20220101_38001_D01_S004,38001_D01_S004,Adeje,1,4,27259.0,9778.0,13441.0,12250.0,1.0972244897959185,2022
2021,20220101_38001_D01_S005,38001_D01_S005,Adeje,1,5,34744.0,11420.0,15824.0,15050.0,1.0514285714285714,2022
2021,20220101_38001_D01_S006,38001_D01_S006,Adeje,1,6,30198.0,9796.0,13823.0,12950.0,1.0674131274131273,2022
2021,20220101_38001_D01_S007,38001_D01_S007,Adeje,1,7,20584.0,8771.0,11700.0,9450.0,1.2380952380952381,2022
2021,20220101_38001_D01_S008,38001_D01_S008,Adeje,1,8,25436.0,10410.0,14054.0,11550.0,1.2167965367965368,2022
2021,20220101_38001_D01_S009,38001_D01_S009,Adeje,1,9,44746.0,15185.0,19506.0,15050.0,1.2960797342192691,2022
2021,20220101_38001_D01_S010,38001_D01_S010,Adeje,1,10,48813.0,14282.0,19295.0,17150.0,1.125072886297376,2022
2021,20220101_38001_D01_S011,38001_D01_S011,Adeje,1,11,20844.0,8892.0,11872.0,9450.0,1.2562962962962962,2022
2021,20220101_38001_D01_S012,38001_D01_S012,Adeje,1,12,34886.0,11747.0,15607.0,12950.0,1.2051737451737452,2022
2021,20220101_38001_D01_S013,38001_D01_S013,Adeje,1,13,33821.0,12177.0,16909.0,12950.0,1.3057142857142856,2022
2021,20220101_38001_D01_S014,38001_D01_S014,Adeje,1,14,29224.0,10723.0,14375.0,12250.0,1.1734693877551021,2022
2021,20220101_38001_D01_S015,38001_D01_S015,Adeje,1,15,28141.0,9505.0,13102.0,12250.0,1.0695510204081633,2022
2021,20220101_38001_D01_S016,38001_D01_S016,Adeje,1,16,32779.0,11052.0,14777.0,13300.0,1.1110526315789473,2022
2021,20220101_38001_D01_S017,38001_D01_S017,Adeje,1,17,23792.0,10113.0,13101.0,10850.0,1.2074654377880185,2022
2021,20220101_38001_D01_S018,38001_D01_S018,Adeje,1,18,31913.0,12041.0,16147.0,12950.0,1.246872586872587,2022
2021,20220101_38002_D01_S001,38002_D01_S001,Agulo,1,1,29977.0,13317.0,17116.0,15750.0,1.0867301587301588,2022
2021,20220101_38003_D01_S001,38003_D01_S001,Alajeró,1,1,30406.0,13166.0,17194.0,15750.0,1.0916825396825396,2022
2021,20220101_38004_D01_S001,38004_D01_S001,Arafo,1,1,36419.0,13502.0,17691.0,15750.0,1.1232380952380951,2022
